標題,問題,回答,主題分類,主題分類_字串,主題數量,回答內容摘要,醫生名稱,回答時間,對應子問題,主題判斷
#31190 糖尿病問題,"醫師你好:
我媽媽前陣子有去檢查..是今年1月27日..
我媽的飯前血糖是252..檢驗師是跟我媽講血糖過高..
現在我媽有在吃中藥..等下一次還要再去檢驗一次
我是想請問一下..我媽媽現在確定已經是糖尿病患嗎??
我媽的腳常常會麻..會痛是血糖過高的因素嗎??",請洽詢專業醫療人員,"['血糖管理', '併發症']","血糖管理, 併發症",3,正常飯前血糖值為70～110mg/dl，空腹血糖≥126mg/dl加糖尿病症狀需懷疑糖尿病，未控糖恐致神經病變，建議儘快就醫診治。,蕭永薰,2005/3/23,我媽媽的飯前血糖是252，這是否確定她已經是糖尿病患？她的腳麻痛是否與血糖過高有關？,請洽詢專業醫療人員
#152839 糖尿病的運動方式,"醫師您好:
我目前身高176公分 體重84kg
腰圍:96
血壓:收縮壓127mmHg舒張壓87mmHg
空腹8小時 糖化血紅素6.1
飯前血糖:103
葡萄糖耐受測驗經過2小時:血糖201
有中度脂肪肝
低密度膽固醇:125
高密度膽固醇:31
肝功能GOT:31 GPT:55
三酸甘油酯:145
因為葡萄糖耐受測驗經過2小時:血糖201 ,我認為我得了糖尿病。
目前有控制飲食不喝含糖飲料,不吃點心零食。
我最近想開始每天運動(慢跑半小時)來控制血糖 ,但我每天下班到家後就晚上6點多了 ,
請問如果下班回家後立刻運動 ,運動完再吃晚餐 ,對控制血糖有幫助嗎。
還是我應該等晚餐吃完2小時候在慢跑會更好。",飯後約一到二小時可以做中等強度的運動，例如；快走，慢跑等。吃飯前運動，最好運動後，間隔30分鐘以上再吃飯。,['運動'],運動,3,飯後1-2小時可進行中等強度運動，飯前運動後需間隔30分鐘再進食。,林建良,2020/2/17,飯後多久進行運動最合適？運動後多久可以進食？,運動
#150902 糖尿病患服用事後避孕藥,醫師您好，我是糖尿病患者，大概在兩個禮拜前服用了事後避孕藥，最近常常會有想吐的感覺，精神上也特別疲倦，最近還有出現心悸，血糖也偏高。請問這些症狀會隨時間減緩嗎？那還需要注意什麼事情，或有什麼方法可以改善這些症狀，謝謝醫生！,事後避孕藥噁心疲倦的副作用但通常不會持續到兩週，這方面婦產科醫師用藥經驗比較多建議與婦產科醫生討論,"['併發症', '血糖管理']","併發症, 血糖管理",3,事後避孕藥副作用短暫，無影響血糖，建議諮詢婦產科；血糖過高可能引發酮酸血症，建議新陳代謝科評估。,柯泰源,2019/10/30,事後避孕藥的副作用通常不會持續到兩週，是否需要婦產科醫生進一步評估用藥情況？,請洽詢專業醫療人員
#150902 糖尿病患服用事後避孕藥,醫師您好，我是糖尿病患者，大概在兩個禮拜前服用了事後避孕藥，最近常常會有想吐的感覺，精神上也特別疲倦，最近還有出現心悸，血糖也偏高。請問這些症狀會隨時間減緩嗎？那還需要注意什麼事情，或有什麼方法可以改善這些症狀，謝謝醫生！,血糖太高造成酮酸血症可能會想吐疲倦，建議回新陳代謝代謝科評估。,"['併發症', '血糖管理']","併發症, 血糖管理",3,事後避孕藥副作用短暫，無影響血糖，建議諮詢婦產科；血糖過高可能引發酮酸血症，建議新陳代謝科評估。,柯泰源,2019/10/30,酮酸血症的症狀有哪些？如何與血糖過高相關聯？,併發症
#62652 糖尿病問題,"醫師您好
我想請問 外公因糖尿傷口問題左腳膝蓋上去一點截肢了
現在還在加護病房插管狀況好像不怎麼好
抽出的痰水呈現淡紅色.上肢嚴重水腫右腳掌也稍微水腫.
腹部也脹脹的這都是併發症嘛??
因為之前再別的醫院拖太久傷口潰爛的蠻嚴重那段期間精神就不怎麼好
截肢後精神雖然有好一點但上肢嚴重水腫還發燒又沒尿插尿管後也不太有尿
而且灌牛奶消化也不怎麼好...叫他雖然眼睛徵開但好像沒反應
這種狀況算嚴重嘛??",請洽詢專業醫療人員,['併發症'],併發症,1,建議直接諮詢主治醫師以了解病情。,蕭永薰,2011/2/8,外公因糖尿病截肢後出現水腫、腹脹、發燒及尿量減少等症狀，這些是否屬於併發症？目前狀況是否屬於危急？,請洽詢專業醫療人員
#16496 糖尿病,"陳醫師您好
請問糖尿病患者是否不能夠食用或飲用含有糖份的食物或飲料？
如果可以食用，那在量的方面要控制在多少呢？
謝謝~!!",糖尿病患者的飲食其實與常人差不多，重點在於量的控制。建議您就近前往糖尿病門診，請營養師根據您的資料設計飲食計劃。,['飲食'],飲食,2,糖尿病飲食重點在量的控制，建議至糖尿病門診由營養師設計個人化飲食計劃。,陳清彬,2003/2/11,糖尿病患者的飲食量應如何控制？是否需要營養師設計個人化飲食計劃？,飲食
#160221 糖尿病治療方針,"李醫師您好：
我的基本資訊如下：有糖尿病家族病史，2年前被驗出飯前血糖113、醣化血色素7.1，當時體重8x，確診糖尿病。之後服藥+飲食運動控制至今，已降到10x/6.x/6x。

我最近注意到有些人確診時的數字跟我差不多，或者比我當時還糟糕，但是他們的醫生評估飲食+運動即可；甚至看過有人分享心得是，飯前2xx/醣化8.x，服藥+飲食運動控制半年之後，醫生說可以停藥。

我因此對我的糖尿病治療方針感到疑惑，所以想向您詢問：
1. 我一開始就是藥物控制，不知道有其他選項，不知為何會有這樣(不用服藥)的分歧？是類似溫和派跟積極派的差別嗎？

2. 目前的醫生認為我的體重再降下一些，便可以將藥(Metformin)從一天兩顆，降到一天一顆，但應不會停止用藥物輔助控制血糖；可是我看到有人控制得宜便不用服藥，相當心動，會建議找其他醫生評估我的狀況嗎？

抱歉問得有點亂，實在是可能不用吃藥的誘惑太大......
再麻煩您撥冗回答了，謝謝！",請洽詢專業醫療人員,"['用藥', '生活管理']","用藥, 生活管理",6,生活型態調整搭配藥物效果佳，減重成功有機會逆轉糖尿病並停藥。,李健,2020/9/2,為何有些糖尿病患者可以僅靠飲食和運動控制血糖，而我需要服用藥物？是否應尋求其他醫生的評估以調整治療計劃？,請洽詢專業醫療人員
#160221 糖尿病治療方針,"李醫師您好：
我的基本資訊如下：有糖尿病家族病史，2年前被驗出飯前血糖113、醣化血色素7.1，當時體重8x，確診糖尿病。之後服藥+飲食運動控制至今，已降到10x/6.x/6x。

我最近注意到有些人確診時的數字跟我差不多，或者比我當時還糟糕，但是他們的醫生評估飲食+運動即可；甚至看過有人分享心得是，飯前2xx/醣化8.x，服藥+飲食運動控制半年之後，醫生說可以停藥。

我因此對我的糖尿病治療方針感到疑惑，所以想向您詢問：
1. 我一開始就是藥物控制，不知道有其他選項，不知為何會有這樣(不用服藥)的分歧？是類似溫和派跟積極派的差別嗎？

2. 目前的醫生認為我的體重再降下一些，便可以將藥(Metformin)從一天兩顆，降到一天一顆，但應不會停止用藥物輔助控制血糖；可是我看到有人控制得宜便不用服藥，相當心動，會建議找其他醫生評估我的狀況嗎？

抱歉問得有點亂，實在是可能不用吃藥的誘惑太大......
再麻煩您撥冗回答了，謝謝！","單單靠飲食和運動來控制血糖,比較容易失敗,有藥物輔助比較容易達標，如果體重能大幅下降,的確有機會逆轉糖尿病,甚至停血糖藥,祝你減重成功","['用藥', '生活管理']","用藥, 生活管理",6,生活型態調整搭配藥物效果佳，減重成功有機會逆轉糖尿病並停藥。,李健,2020/9/2,如何透過減重來逆轉糖尿病並停用血糖藥物？,生活管理
#48731 糖尿病加肺炎,"王醫師
您好：

我父親有糖尿病，雖然他有每天測量血糖，但平時愛喝酒，上個星期，突然發生了急性肺炎，才不敢喝酒，但因為有糖尿病又有肺炎，因此很多東西他都不敢吃，今天竟然因為營養不足去吊點滴。
1. 不知道急性肺炎與糖尿病是否有關？
2. 除了醫生開的藥之外，自己平時可多補充哪些食物？做哪些適合的運動？
3. 我想買GT&F奶粉或立攝適、亞培葡聖納給他喝，哪一種較適合？或是有其它建議的牌子呢？

期待您的回覆

憂心的女兒",糖尿病併發急性肺炎時，需要補充高蛋白食物，如：牛奶、魚、瘦肉、去皮雞肉、雞蛋及豆腐等。若食慾不振時，可選用糖尿病營養品：亞培葡勝納及諾華糖尿立攝適，但以您父親的情況，應選用含較高蛋白質的糖尿立攝適較佳。（同樣２５０卡、立攝適含１５克蛋白質；葡勝納含１０克蛋白質）。至於ＧＴ＆Ｆ奶粉含有「三價鉻」，可在體內轉化形成ＧＴＦ（Glucose Tolerence Factor）耐糖因子，協助葡萄糖的正常代謝，但須考慮價格。,"['併發症', '飲食']","併發症, 飲食",2,糖尿病患者感染時需補充高蛋白食物，選擇高蛋白糖尿病營養品較佳，並注意奶粉含三價鉻的代謝作用及價格因素。,王芳梨,2007/11/8,糖尿病併發急性肺炎時，如何選擇適合的高蛋白食物或糖尿病營養品？,飲食
#41649 糖尿病的孕婦,醫生; 我是一個孕婦 懷孕5個多月我之前血糖控制的還不錯可是最近這幾天都超過200我是第2型糖尿病者的孕婦請問懷孕期間該注意哪些事情糖尿病患者孕婦再要生產時要注意哪些事生產後會引起哪些併發症我是不是要到大醫院做產檢和生產呢我的腳會有脫皮現象那是正常的嗎我的手指頭會有浮腫現象該如何是好飯前飯後血糖多少到多少之間是正常的血糖過高要如何讓它降下,血糖的控制，對於一個產婦甚為重要，會影響胎兒的健康甚劇，下表為產婦在第一產期的醣化血色素值與胎兒主要生產缺陷的危險性關係。,"['血糖管理', '併發症']","血糖管理, 併發症",3,血糖控制對產婦及胎兒健康重要，糖化血色素應低於6.9以減少胎兒缺陷風險，浮腫可能因血液回流減慢，需尋求醫師協助。,謝永徽,2006/8/25,產婦的醣化血色素值如何影響胎兒的主要生產缺陷風險？,血糖管理
#215189 睡覺時血糖問題,"您好醫生 我糖尿病已經20幾年 我想問的是 我睡覺00:00前的血糖要怎麼撐到早上7:00 中間不會低血糖 , 每次過12點後 感覺血糖降的幅度就很快 不知道是不是因為壓力賀爾蒙已經最低的關係 都降得很快 到2~3點就會收到低血糖警報(cgm)

基礎胰島素的單位 打到讓空腹的血糖持平就好。還是讓血糖稍微可以下降
我看順糖人生(youtube)。 他測試食物的時候只打基礎胰島素。也可以讓血糖回到平穩
如果只能血糖持平。怎麼可能辦得到
應該打死不可能吧
他不是第一型的嗎。自體無法分泌胰島素

如果我的自體胰島素已經分泌非常不足了 (應該是 之前醫生給我開基礎胰島素加降阻抗藥 (愛妥糖) 跟庫魯化錠 結果血糖根本降不下來 空仕仕可以打停沒錯 但是每一餐都會往上堆疊 無法降下來 唯一有機會降的就是開始睡覺以後) ,那基礎胰島素打法是不是 跟第一型的一樣 不然就每一餐都差個50左右的血糖直無法降到100內",空腹血糖建議120以下即可，如果常有半夜低血糖的感覺，也可以跟醫師討論，安裝連續血糖監測儀，來監測一整天的血糖分佈情況，謝謝詢問,['血糖管理'],血糖管理,2,建議空腹血糖120以下，若半夜低血糖可考慮連續血糖監測儀並與醫師討論。,李健,2025/2/6,如何使用連續血糖監測儀來追蹤全天的血糖分佈？,血糖管理
#215154 糖尿病前期,"近期有去中國醫藥抽血檢查，意外發現醣化血色素HbAlc=5.7%(異常) ，標準為(4%~5.6%)
2年前有去驗 但是標準為(4%-6%)
血糖測試正常 ，空腹測85

1.請問高0.1% 也算糖尿病前期嗎??

2.請問是否醫院標準提高算異常呢?這是在月經剛過驗的不知道是不準確呢??

3.平常比較常在吃 火鍋、壽司(生魚片)、咖哩飯、義大利麵、紅豆湯圓，請問這些是否都不能吃了?
還有哪些不能吃 呢??

4.請問這算是糖尿病嗎?需要控制嗎?如果保養好 這個會好嗎??還是得一直控制呢??
有甚麼方法可以做改善嗎??

5.這個還需要做其他血液(或其他檢查)嗎??還是這樣就確定為糖尿病了??",根據國際糖尿病組織的標準，HbA1c達到7%至6.4%通常被認為是糖尿病前期（prediabetes）。表示你有較高的風險，需要進一步追蹤和控制。,"['飲食', '血糖管理']","飲食, 血糖管理",4,糖尿病前期需注意飲食控制、增加運動，定期監測血糖，並與醫師討論進一步檢查或治療以降低風險。,林建良,2025/2/3,HbA1c達到6.4%至7%時，應採取哪些措施來降低糖尿病的風險？,預防
#215154 糖尿病前期,"近期有去中國醫藥抽血檢查，意外發現醣化血色素HbAlc=5.7%(異常) ，標準為(4%~5.6%)
2年前有去驗 但是標準為(4%-6%)
血糖測試正常 ，空腹測85

1.請問高0.1% 也算糖尿病前期嗎??

2.請問是否醫院標準提高算異常呢?這是在月經剛過驗的不知道是不準確呢??

3.平常比較常在吃 火鍋、壽司(生魚片)、咖哩飯、義大利麵、紅豆湯圓，請問這些是否都不能吃了?
還有哪些不能吃 呢??

4.請問這算是糖尿病嗎?需要控制嗎?如果保養好 這個會好嗎??還是得一直控制呢??
有甚麼方法可以做改善嗎??

5.這個還需要做其他血液(或其他檢查)嗎??還是這樣就確定為糖尿病了??",通常糖尿病前期的情況可以通過改變飲食、增加運動、維持健康體重來改善或延緩進展。控制得好，狀況有可能改善。建議定期監測你的血糖(如空腹血糖、餐後血糖或HbA1c），並注意自己是否有其他糖尿病相關的風險因素（如體重增加、家族史等）。,"['飲食', '血糖管理']","飲食, 血糖管理",4,糖尿病前期需注意飲食控制、增加運動，定期監測血糖，並與醫師討論進一步檢查或治療以降低風險。,林建良,2025/2/3,如何通過飲食和運動來改善糖尿病前期並延緩其進展？,預防
#213886 一直低血壓不敢繼續吃糖尿病的藥,"醫生你好，我有初期糖尿病，控制的也算不錯有固定回診，但近半年一直頭暈目眩到無法行走的地步，自行裝了24小時測血糖機器，發現空腹血糖80～70，飯後血糖110～120，但飯後大概30分鐘內血糖就會迅速的掉到50～60，然後我就會趕快進食讓血糖升高，導致一整天我都一直在陸陸續續進食，甚至晚上睡覺前必須吃澱粉才行，否則每天睡著後血糖都會掉到非常低（大概60以下），回診時跟醫生說明情況，也換了好幾次的藥也完全沒有改善，變成我根本不敢繼續服用糖尿病將血壓的藥，醫生請問我該怎麼辦？繼續吃糖尿病的藥對我來說到底有什麼幫助呢？（因為只會導致血壓太低目前不敢繼續服用）
求求醫生解答謝謝",請洽詢專業醫療人員,"['用藥', '飲食']","用藥, 飲食",5,需與醫師討論藥物調整及飲食控制，並評估潛在健康問題，進行個別化治療以改善血糖管理。,林建良,2024/12/23,近半年一直頭暈目眩到無法行走，血糖波動異常且藥物調整無效，應該如何進一步檢查或治療？,請洽詢專業醫療人員
#213207 空腹血糖超標 糖化血色素正常,"醫師您好 前些日子因為眼鏡刮傷 以為是視力模糊 進而開始擔心起血糖問題
後因檢查飛蚊症 眼科醫師認為本人眼凸手抖 建議我去新陳代謝科檢查是否為甲狀腺問題
到了新陳代謝科 我向醫師提出對於血糖的疑慮 並運用血糖機檢測空腹血糖為131(空腹超過12小時)
醫師進而請我去做糖化血色素及甲狀腺的檢測
直至近日糖化血色素測量出來為5.6 醫師僅要說血糖與甲狀腺都正常 僅要我明年再追蹤

請問
1.這樣的檢測數值足以判斷為糖尿病嗎?還是目前還不是糖尿病?
2. 因為那幾日要做健康檢查，內心有些焦慮，徹夜難眠，空腹血糖有可能因此飆高嗎?
3.由於空腹血糖值超標，本人因擔心而開始飲食控制，並減少醣類攝取，請問是否需要持續控制?還是正常吃飯就好?",空腹血糖偏高，可以規律追蹤血糖值，持續飲食控制，謝謝詢問,"['飲食', '血糖管理']","飲食, 血糖管理",2,規律追蹤血糖值並持續飲食控制以管理空腹血糖偏高。,李健,2024/11/27,如何透過飲食控制來降低空腹血糖？,飲食
#210352 吃過很多種藥但無效，目前只能依賴胰島素,我想請問，我吃欣促胰，糖漸平，吃了一片土司，一小碗濃湯，一小碗沙拉，餐後血糖282（餐前105），仍是無法克制我餐後血糖，想請問為什麼試過捷糖穩，抵克醣好幾種藥都無效，唯一目前只有晚上打16單位諾胰得，才能夠安心吃晚餐，不曉得有什麼藥物可以控制住我餐後血糖，連吃個水煮蛋一顆，餐後血糖都可以升50，請問有什麼檢查可以確定我是第一型還是第二型糖尿病患者？謝謝。,請洽詢專業醫療人員,"['糖尿病類型', '血糖管理']","糖尿病類型, 血糖管理",4,建議糖尿病患者看新陳代謝內分泌科專科醫師進行診斷、藥物調整及衛教，穩定血糖避免影響生活。,曾國森,2024/8/5,我餐後血糖難以控制，試過多種藥物仍無效，是否有檢查可以確定我是第一型還是第二型糖尿病患者？,請洽詢專業醫療人員
#210256 糖尿病 檢查結果 詢問,"我在23還24歲的時候再一次公司體檢的時候檢查出來飯前空腹血糖過高
於是去了大醫院檢查
飯後血糖高達395；糖化血色素9.1
確診第二型糖尿病
之後就開始口服降血糖及降血酯藥控制
期間換了許多藥物
糖化血色素降至7.9
因為我愛喝甜的
沒喝甜的我無法專心
但我已從正常甜改至微糖甚至無糖飲料（現在如果喝正常甜的都會覺得很甜）也會加一點冰塊
也不會每天喝
也會持續的喝水
雖然不會到3000ml
但也會有2000-2500ml

前幾天去抽血
剛剛去健保快易通找尋我的檢查資料
有些檢驗結果我看得不是很懂
煩請醫師為我解答

以下是我的檢驗資料
113/7/20
微白蛋白（ 免疫比濁法）2.04
（尿蛋白）
CRE(肌酸酐) 53.27 （尿液）
A/C Ratio 38
醣化血色素 8.2
（這個我知道是三個月下來計算的）
飯前血糖Glu 182 （偏高）

肌酸酐有分血液還有尿液檢驗數值嗎？

112/3/3 血液肌酸酐0.42顯示紅字

112/03/03有兩筆
（1）項目名稱 CRE(肌酸酐)
檢查結果 60
單位 mg/dL
參考值 eGFR（腎絲球過濾率）
（2）肌酐、尿
檢驗檢查
項目名稱 CRE(肌酸酐)
檢查結果 30.48

112/11/1
尿液 肌酸酐41.79
血液肌酐酸 0.44
（一樣無紅字）

113/4/25
血液 肌酸酐爲0.40（無紅字）
尿液 肌酸酐爲60（無紅字）

113/7/20
尿液 肌酸酐爲 53.27（無紅字）
單位 mg/dL

正常值是要多少？
目前吃的藥：
Amaryl M FC Tab 2 mg / 500 mg
（一天兩次，一次兩顆）
Glyxambi糖順平膜衣錠25/5毫克
（一天一次，一次一顆）
Lipitor 10立普妥膜衣錠１０毫克
（一天一次，一次一顆）",請洽詢專業醫療人員,['血糖管理'],血糖管理,1,檢驗數值正常範圍因單位不同而異，建議回原檢驗醫院規則就診。,李健,2024/7/30,我的檢驗數據中尿液和血液肌酸酐的正常值是多少？這些數值是否與糖尿病有關？我目前的用藥是否需要調整？,請洽詢專業醫療人員
#206741 菸熄掉又抽（不止一次）,"醫生你好
家人有糖尿病，想抽菸又不想抽太多，抽幾口熄了又抽，再熄了又抽........！
這樣會比（ㄧ次抽完）對身體更有害嗎？",抽菸和糖尿病都會造成血管硬化，建議盡量戒菸，謝謝詢問,['併發症'],併發症,3,抽菸與糖尿病均導致血管硬化，建議戒菸。,李健,2024/3/20,抽菸如何加重糖尿病患者的血管硬化問題？,併發症
#200127 糖尿病出國旅遊,"林醫生您好:
我父親二型糖尿病,確診1年半,糖化血色素維持在5.8~6之間,目前吃藥控制,
下個月要跟朋友跟團到越南5日遊,
爸爸目前服用的藥物有:漢伏醣碇(metformin)早晚飯後各一顆,暢壓(losartan)早上半顆,立普妥(atorvastatin)兩天一顆
想請問出國旅遊攜帶以上這些藥物
是否需要開((英文診斷證明))讓海關查驗?
藥物是放隨身攜帶還是放行李托運?",請洽詢專業醫療人員,['糖尿病類型'],糖尿病類型,1,請詢問當地海關以了解相關規定。,林建良,2023/8/31,出國旅遊攜帶糖尿病相關藥物是否需要英文診斷證明？藥物應該隨身攜帶還是放行李托運？,請洽詢專業醫療人員
#199851 醫生你好 我想詢問一些關於糖尿病的問題,"我在上上禮拜有去體檢目前 飯前血糖116 糖化血色素5.7我這樣算糖尿病前期還是已經是糖尿病
我早上起床空腹量血糖有時99~107 但到公司沒吃中餐量血糖比在家量的時候高 是正常的嗎大概117~12X
我覺得我的頻尿很嚴重 也有去中國看泌尿科 但泌尿科醫師只說我膀胱有一個憩室
我一天上廁所多達十幾次 有時夜尿也三四次以上
目前膽固醇229 三酸甘油脂 186低密度膽固存都偏高164 高密度 34 動脈硬化指數6.74",飯前血糖116，糖化血色素7是屬於空腹血糖異常(impaired fasting glucose )，建議可以看新陳代謝科進一步檢查。,['血糖管理'],血糖管理,3,飯前血糖異常但未達糖尿病，建議至新陳代謝科進一步檢查。,林建良,2023/8/31,空腹血糖異常是否需要進一步檢查？新陳代謝科可以提供哪些檢查項目？,請洽詢專業醫療人員
#197116 糖尿病周邊神經病變復原問題,"醫師你好，我父親（59歲），從去年10開始感覺到腳麻，接著在1月份短短幾周就從能散步的程度下降到難以行走。
目前做過血漿置換術（總計做五次，第五次轉速過快導致他頭暈嘔吐）接著三天後因為血液感染又引發似敗血症的情形而回加護病房大約一兩周。

目前的情況是，如果有腳架輔助也還是有點搖晃的緩慢行走，而主治醫師的處理是：半個月回診，處方為吃藥。

想問醫生幾個問題，1.請問去別家醫院看診會是浪費時間嗎？2.糖尿病引發的腿麻真的會痊癒嗎？3.在飲食控制良好下，腿會更麻是一種情況惡化嗎？
ㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧ
他這兩個月以內自撞了兩次（因為我在外地上學，沒辦法第一時間勸諫不要再讓爸爸摸車）但很幸運的是並無大礙。

也不知道是心情影響還是怎麼樣，他現在感覺也悶悶不樂的，而且前幾天跟我說腳又更麻了，但他的回診日是下周，所以倍感焦慮的上來詢問。",請洽詢專業醫療人員,"['併發症', '生活管理']","併發症, 生活管理",4,尋求第二意見有助於診斷，糖尿病需積極治療，腿麻需考量循環、血脂、血壓、免疫、腎臟及生活習慣等多重因素。,林建良,2023/6/5,糖尿病引發的腿麻是否有可能痊癒？是否需要尋求其他醫院的診療意見？,請洽詢專業醫療人員
#197116 糖尿病周邊神經病變復原問題,"醫師你好，我父親（59歲），從去年10開始感覺到腳麻，接著在1月份短短幾周就從能散步的程度下降到難以行走。
目前做過血漿置換術（總計做五次，第五次轉速過快導致他頭暈嘔吐）接著三天後因為血液感染又引發似敗血症的情形而回加護病房大約一兩周。

目前的情況是，如果有腳架輔助也還是有點搖晃的緩慢行走，而主治醫師的處理是：半個月回診，處方為吃藥。

想問醫生幾個問題，1.請問去別家醫院看診會是浪費時間嗎？2.糖尿病引發的腿麻真的會痊癒嗎？3.在飲食控制良好下，腿會更麻是一種情況惡化嗎？
ㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧㄧ
他這兩個月以內自撞了兩次（因為我在外地上學，沒辦法第一時間勸諫不要再讓爸爸摸車）但很幸運的是並無大礙。

也不知道是心情影響還是怎麼樣，他現在感覺也悶悶不樂的，而且前幾天跟我說腳又更麻了，但他的回診日是下周，所以倍感焦慮的上來詢問。", 無法單由飲食控制良好下，來看腿會更麻是不是一種情況惡化。因為還要考量其他因素，如是否有循環問題，是否有它的高血酯、高血壓沒控制好，,"['併發症', '生活管理']","併發症, 生活管理",4,尋求第二意見有助於診斷，糖尿病需積極治療，腿麻需考量循環、血脂、血壓、免疫、腎臟及生活習慣等多重因素。,林建良,2023/6/5,腿部麻木是否可能與循環問題、高血脂或高血壓未控制有關？,併發症
#179820 糖尿病體重及飲食,"去年十月確定為糖尿病並開始吃藥-泌樂寛
十一月底為了減重所以有做168，每日吃午餐及晚餐
今年二月回診檢查，體重原58.9（十月）降至49.4，糖化血色素原6.4（十月）降至5.4，但因膽固醇有偏高，所以醫生又開了藥-立普妥
三月初就不再継續168，且恢復正常三餐，可是體重還是下降，該如何改善？
想多吃但不是又要控制每天的量嗎？又要如何增加可吃量？",含有精製糖類的東西，例如:糖果，汽水，蛋糕等，都不要吃．還有要避免油炸，高油酯食物．同時可以和您的醫師討論，根據您的狀況，每天合理的熱量可以吃多少?糖尿病患者也能好好的吃又吃得健康．,"['飲食', '運動']","飲食, 運動",3,避免精製糖、高油脂食物，選擇低甜度水果，控制熱量攝取，適度運動，與醫師討論飲食計畫以健康管理糖尿病。,林建良,2022/3/23,糖尿病患者應如何避免含精製糖和高油酯食物，並合理規劃每日熱量攝取?,飲食
#179820 糖尿病體重及飲食,"去年十月確定為糖尿病並開始吃藥-泌樂寛
十一月底為了減重所以有做168，每日吃午餐及晚餐
今年二月回診檢查，體重原58.9（十月）降至49.4，糖化血色素原6.4（十月）降至5.4，但因膽固醇有偏高，所以醫生又開了藥-立普妥
三月初就不再継續168，且恢復正常三餐，可是體重還是下降，該如何改善？
想多吃但不是又要控制每天的量嗎？又要如何增加可吃量？",盡量選擇比較不甜的水果，例如：硬的芭樂，大顆的番茄．同時可以和您的醫師討論，根據您的狀況，每天合理的熱量可以吃多少?糖尿病患者也能好好的吃又吃得健康．,"['飲食', '運動']","飲食, 運動",3,避免精製糖、高油脂食物，選擇低甜度水果，控制熱量攝取，適度運動，與醫師討論飲食計畫以健康管理糖尿病。,林建良,2022/3/23,糖尿病患者可以選擇哪些水果來保持健康飲食？每天攝取水果的合理熱量應如何計算？,飲食
#178994 糖尿病問題,醫生您好，我2月多確認糖尿病，想請問一下，我2/23晚上吃完晚飯後有吃降血糖藥，飯後兩小時測血糖為94，但是早上量空腹血糖為111，請問這是黎明效應，還是因為我晚上沒睡好導致早上血糖升高的關係，再麻煩醫生幫我解答 謝謝您,通常這是黎明現象，這在糖尿病患很常見，建議持續飲食控制及找時間多多運動來控制血糖。,['血糖管理'],血糖管理,1,黎明現象是糖尿病患者常見的情況。,李健,2022/2/24,什麼是黎明現象？如何通過飲食控制和運動來管理血糖？,血糖管理
#178768 妊娠糖尿產後該如何改善空腹血糖,"醫生您好:

我懷孕妊娠糖尿期間嚴格飲食控制，血糖一直維持在正常範圍。產後繼續飲食控制，但是生活忙碌沒有運動，僅通勤步行，每日晨起空腹血糖值均在95-98之間，最高曾有一次100。飯後兩小時血糖則在110-130之間(看飲食內容而高低變化)。由於飲食已相當節制，且進行168斷食，晚餐六點吃完至隔天早上10點才進食，想詢問醫生還有什麼方法可以降低空腹血糖嗎?又想請問空腹血糖九十幾接近一百是否極可能演變成糖尿病前期?感謝醫生抽空提供諮詢!",妊娠糖尿病將來血糖高的機會.會比一般稍高，建議飲食控制，運動，及規則追蹤。,"['飲食', '運動']","飲食, 運動",5,建議飲食控制、運動及規則追蹤，以管理血糖並降低妊娠糖尿病後血糖偏高風險。,林建良,2022/2/18,妊娠糖尿病患者如何通過飲食控制和運動來降低未來血糖升高的風險？,生活管理
#176737 是否為糖尿病前期,"醫生您好
我父親有糖尿病
之前為了做健康檢查，空腹12小時血糖竟然有149
醫生是說可能都沒有喝水造成的血糖上升
這幾天去診所抽飯前血糖為90
糖化血紅素為5.4
但醫生還是幫我歸納為糖尿病前期
因為曾經空腹血糖有超過149(超過126)

請問依醫生來看，我目前是糖尿病前期嗎
有可能不是前期但突然空腹血糖超過126嗎
謝謝",請洽詢專業醫療人員,"['飲食', '血糖管理']","飲食, 血糖管理",4,定期追蹤血糖及HbA1C，配合飲食控制、運動及多喝水。,何永和,2021/12/21,糖尿病前期的診斷標準是什麼？空腹血糖偶爾超過126是否一定代表糖尿病前期？,請洽詢專業醫療人員
#174013 糖尿病問題,"這3個禮拜機會每天測血糖平均值
早晨80-90
飯前80-90 飯後110-120
睡前90多

但是有一天...晚9點才吃晚餐 11點量血糖突然148我是得到糖尿病嗎？
食物是 咖哩雞飯加上咖啡飲料

這樣正常嗎？ 只有一天而已！！
平均睡前9x",建議與家庭醫學科或內分泌科醫師做後續討論，適當減重或是飲食調整都很有幫助喔!,"['飲食', '血糖管理']","飲食, 血糖管理",4,飯後血糖148未達糖尿病標準，但可能處於糖尿病前期，建議與醫師討論並透過減重及飲食調整降低風險。,林武甫,2021/9/30,如何透過飲食調整和減重來改善糖尿病相關狀況？,飲食
